account_id,observation_month,watchlist_rank,predicted_probability,target_deterioration_6m,months_to_deterioration,reason_feature_1,reason_value_1,reason_shap_1,reason_1,reason_feature_2,reason_value_2,reason_shap_2,reason_2,reason_feature_3,reason_value_3,reason_shap_3,reason_3
ACC000589,2022-01-31,20,1.0,1,4.0,cash_buffer_months,1.156,0.9391991496086121,Cash buffer is thin or deteriorating (cash_buffer_months=1.156),utilization_change_1m,0.1101,0.7484551668167114,Utilisation increased recently (utilization_change_1m=0.110),utilization_std_3m,0.0861820360245301,0.6921247243881226,Utilisation volatility is elevated (utilization_std_3m=0.086)
ACC000639,2022-01-31,21,1.0,1,5.0,utilization_std_3m,0.0907704246987968,0.9228631854057312,Utilisation volatility is elevated (utilization_std_3m=0.091),utilization_change_1m,0.1015,0.8890135288238525,Utilisation increased recently (utilization_change_1m=0.102),cash_buffer_months,2.388,0.8127594590187073,Cash buffer is thin or deteriorating (cash_buffer_months=2.388)
ACC000678,2022-01-31,22,1.0,1,2.0,utilization_std_3m,0.152416370511832,0.8940760493278503,Utilisation volatility is elevated (utilization_std_3m=0.152),utilization_change_1m,0.1325,0.8309523463249207,Utilisation increased recently (utilization_change_1m=0.133),cash_buffer_months,2.442,0.7424584031105042,Cash buffer is thin or deteriorating (cash_buffer_months=2.442)
ACC000682,2022-01-31,23,1.0,1,1.0,cash_buffer_months,1.383,1.1935418844223022,Cash buffer is thin or deteriorating (cash_buffer_months=1.383),utilization_std_6m,0.1786912504852988,0.6310193538665771,Utilisation volatility is elevated (utilization_std_6m=0.179),payment_to_balance,0.0227461568944383,0.5573416352272034,Payment relative to balance is weak (payment_to_balance=0.023)
ACC000727,2022-01-31,24,1.0,1,3.0,cash_buffer_months,1.381,0.9195782542228699,Cash buffer is thin or deteriorating (cash_buffer_months=1.381),utilization_std_3m,0.1001480071361045,0.8517048358917236,Utilisation volatility is elevated (utilization_std_3m=0.100),utilization_change_1m,0.1257,0.8011473417282104,Utilisation increased recently (utilization_change_1m=0.126)
ACC000730,2022-01-31,25,1.0,1,1.0,cash_buffer_months,1.539,0.923139214515686,Cash buffer is thin or deteriorating (cash_buffer_months=1.539),utilization_std_3m,0.1655017019046441,0.8500577807426453,Utilisation volatility is elevated (utilization_std_3m=0.166),utilization_std_6m,0.2515604314407703,0.7246818542480469,Utilisation volatility is elevated (utilization_std_6m=0.252)
ACC000760,2022-01-31,26,1.0,1,2.0,cash_buffer_months,0.354,0.9398676156997681,Cash buffer is thin or deteriorating (cash_buffer_months=0.354),utilization_std_3m,0.1124452311127511,0.7833135724067688,Utilisation volatility is elevated (utilization_std_3m=0.112),utilization_std_6m,0.1737434161822163,0.6409540176391602,Utilisation volatility is elevated (utilization_std_6m=0.174)
ACC000780,2022-01-31,27,1.0,1,1.0,cash_buffer_months,2.008,0.9254823327064514,Cash buffer is thin or deteriorating (cash_buffer_months=2.008),utilization_std_3m,0.1376083936393416,0.8768244385719299,Utilisation volatility is elevated (utilization_std_3m=0.138),utilization_change_1m,0.1584999999999999,0.7482893466949463,Utilisation increased recently (utilization_change_1m=0.158)
ACC000849,2022-01-31,28,1.0,1,4.0,utilization_std_3m,0.1087515670385182,0.8658720254898071,Utilisation volatility is elevated (utilization_std_3m=0.109),cash_buffer_months,2.398,0.8413161635398865,Cash buffer is thin or deteriorating (cash_buffer_months=2.398),utilization_change_1m,0.1145,0.8198570013046265,Utilisation increased recently (utilization_change_1m=0.115)
ACC000886,2022-01-31,29,1.0,1,2.0,cash_buffer_months,0.894,0.8753030896186829,Cash buffer is thin or deteriorating (cash_buffer_months=0.894),utilization_std_3m,0.0812896262344299,0.554218053817749,Utilisation volatility is elevated (utilization_std_3m=0.081),payment_to_balance,0.0245796768800023,0.5293901562690735,Payment relative to balance is weak (payment_to_balance=0.025)
ACC000895,2022-01-31,30,1.0,1,2.0,cash_buffer_months,1.35,0.939170777797699,Cash buffer is thin or deteriorating (cash_buffer_months=1.350),utilization_std_3m,0.1194562821007466,0.899225115776062,Utilisation volatility is elevated (utilization_std_3m=0.119),utilization_change_1m,0.102,0.8001430034637451,Utilisation increased recently (utilization_change_1m=0.102)
ACC000929,2022-01-31,31,1.0,1,1.0,cash_buffer_months,1.214,0.8941563367843628,Cash buffer is thin or deteriorating (cash_buffer_months=1.214),utilization_std_3m,0.1861263638857571,0.8629902601242065,Utilisation volatility is elevated (utilization_std_3m=0.186),utilization_change_1m,0.2087,0.7066349387168884,Utilisation increased recently (utilization_change_1m=0.209)
ACC000945,2022-01-31,32,1.0,1,4.0,utilization_std_3m,0.1329836205452888,0.9649462103843689,Utilisation volatility is elevated (utilization_std_3m=0.133),cash_buffer_months,2.164,0.9370007514953613,Cash buffer is thin or deteriorating (cash_buffer_months=2.164),utilization_change_1m,0.1578999999999999,0.873465359210968,Utilisation increased recently (utilization_change_1m=0.158)
ACC000968,2022-01-31,33,1.0,1,3.0,utilization_std_3m,0.1240155366610699,0.9094015955924988,Utilisation volatility is elevated (utilization_std_3m=0.124),utilization_change_1m,0.1274,0.7447841763496399,Utilisation increased recently (utilization_change_1m=0.127),cash_buffer_months,2.424,0.7384841442108154,Cash buffer is thin or deteriorating (cash_buffer_months=2.424)
ACC000991,2022-01-31,34,1.0,1,2.0,cash_buffer_months,1.688,1.2037057876586914,Cash buffer is thin or deteriorating (cash_buffer_months=1.688),utilization_std_6m,0.1658700455175676,0.6097857356071472,Utilisation volatility is elevated (utilization_std_6m=0.166),payment_to_balance,0.0301156674048635,0.5728142857551575,Payment relative to balance is weak (payment_to_balance=0.030)
ACC001004,2022-01-31,35,1.0,1,1.0,cash_buffer_months,2.099,0.9199150800704956,Cash buffer is thin or deteriorating (cash_buffer_months=2.099),utilization_std_3m,0.1321220773880479,0.8410180807113647,Utilisation volatility is elevated (utilization_std_3m=0.132),utilization_change_1m,0.1740999999999999,0.72550368309021,Utilisation increased recently (utilization_change_1m=0.174)
ACC001032,2022-01-31,36,1.0,1,1.0,cash_buffer_months,1.653,0.9505430459976196,Cash buffer is thin or deteriorating (cash_buffer_months=1.653),utilization_std_3m,0.1898865187421159,0.8775646686553955,Utilisation volatility is elevated (utilization_std_3m=0.190),utilization_change_1m,0.1963,0.7993707656860352,Utilisation increased recently (utilization_change_1m=0.196)
ACC001068,2022-01-31,37,1.0,1,1.0,cash_buffer_months,1.554,1.1648486852645874,Cash buffer is thin or deteriorating (cash_buffer_months=1.554),utilization_std_6m,0.1542209508032766,0.66989666223526,Utilisation volatility is elevated (utilization_std_6m=0.154),payment_to_balance,0.0156103004925199,0.5475105047225952,Payment relative to balance is weak (payment_to_balance=0.016)
ACC001080,2022-01-31,38,1.0,1,3.0,cash_buffer_months,2.151,1.032515287399292,Cash buffer is thin or deteriorating (cash_buffer_months=2.151),utilization_std_6m,0.1061338588764213,0.513482928276062,Utilisation volatility is elevated (utilization_std_6m=0.106),payment_to_due_ratio_std_6m,0.213401168381681,0.4482809007167816,payment_to_due_ratio_std_6m contributes to higher risk (0.213)
ACC001100,2022-01-31,39,1.0,1,2.0,cash_buffer_months,1.743,0.97688889503479,Cash buffer is thin or deteriorating (cash_buffer_months=1.743),utilization_std_3m,0.117792034252463,0.8485291004180908,Utilisation volatility is elevated (utilization_std_3m=0.118),utilization_change_1m,0.1368,0.7566711902618408,Utilisation increased recently (utilization_change_1m=0.137)
ACC001172,2022-01-31,40,1.0,1,1.0,cash_buffer_months,0.818,0.9013820886611938,Cash buffer is thin or deteriorating (cash_buffer_months=0.818),utilization_std_3m,0.1891111401618987,0.8533838391304016,Utilisation volatility is elevated (utilization_std_3m=0.189),utilization_change_1m,0.1401,0.7740063667297363,Utilisation increased recently (utilization_change_1m=0.140)
ACC001178,2022-01-31,41,1.0,1,2.0,cash_buffer_months,1.806,0.9057210087776184,Cash buffer is thin or deteriorating (cash_buffer_months=1.806),utilization_std_3m,0.1508898604943352,0.865553617477417,Utilisation volatility is elevated (utilization_std_3m=0.151),utilization_change_1m,0.162,0.8262150883674622,Utilisation increased recently (utilization_change_1m=0.162)
ACC001258,2022-01-31,42,1.0,1,2.0,cash_buffer_months,1.418,1.2305018901824951,Cash buffer is thin or deteriorating (cash_buffer_months=1.418),payment_to_balance,0.0254821444215309,0.5790358781814575,Payment relative to balance is weak (payment_to_balance=0.025),payment_to_due_ratio,0.5663,0.4578688144683838,Payment coverage is high (payment_to_due_ratio=0.566)
ACC001276,2022-01-31,43,1.0,1,1.0,utilization_std_3m,0.141748027617083,0.903034508228302,Utilisation volatility is elevated (utilization_std_3m=0.142),cash_buffer_months,0.856,0.884189784526825,Cash buffer is thin or deteriorating (cash_buffer_months=0.856),utilization_change_1m,0.1704999999999999,0.7084299325942993,Utilisation increased recently (utilization_change_1m=0.170)
ACC001314,2022-01-31,44,1.0,1,3.0,utilization_std_3m,0.0978622160659224,0.8608423471450806,Utilisation volatility is elevated (utilization_std_3m=0.098),utilization_change_1m,0.138,0.8132100105285645,Utilisation increased recently (utilization_change_1m=0.138),cash_buffer_months,2.463,0.7760122418403625,Cash buffer is thin or deteriorating (cash_buffer_months=2.463)
ACC001333,2022-01-31,45,1.0,1,3.0,utilization_std_3m,0.1400565600034503,0.9519036412239075,Utilisation volatility is elevated (utilization_std_3m=0.140),utilization_change_1m,0.1755999999999999,0.9416157603263855,Utilisation increased recently (utilization_change_1m=0.176),utilization_std_6m,0.1489156092109441,0.735436201095581,Utilisation volatility is elevated (utilization_std_6m=0.149)
ACC001372,2022-01-31,46,1.0,1,2.0,cash_buffer_months,1.77,0.92484050989151,Cash buffer is thin or deteriorating (cash_buffer_months=1.770),utilization_std_3m,0.162302967728053,0.875501275062561,Utilisation volatility is elevated (utilization_std_3m=0.162),utilization_change_1m,0.164,0.8180509805679321,Utilisation increased recently (utilization_change_1m=0.164)
ACC001388,2022-01-31,47,1.0,1,2.0,cash_buffer_months,1.805,0.9511245489120483,Cash buffer is thin or deteriorating (cash_buffer_months=1.805),utilization_std_3m,0.1330115157921795,0.8668982982635498,Utilisation volatility is elevated (utilization_std_3m=0.133),utilization_change_1m,0.1215,0.718503475189209,Utilisation increased recently (utilization_change_1m=0.121)
ACC001449,2022-01-31,48,1.0,1,3.0,utilization_change_1m,0.1533,1.1145764589309692,Utilisation increased recently (utilization_change_1m=0.153),utilization_std_3m,0.1308344883176198,0.9645394086837769,Utilisation volatility is elevated (utilization_std_3m=0.131),utilization_std_6m,0.1390388147245221,0.596871018409729,Utilisation volatility is elevated (utilization_std_6m=0.139)
ACC001489,2022-01-31,49,1.0,1,3.0,utilization_std_3m,0.1640141863782926,0.9457001090049744,Utilisation volatility is elevated (utilization_std_3m=0.164),cash_buffer_months,2.232,0.8789247274398804,Cash buffer is thin or deteriorating (cash_buffer_months=2.232),utilization_change_1m,0.2450000000000001,0.8415045142173767,Utilisation increased recently (utilization_change_1m=0.245)
ACC001621,2022-01-31,50,1.0,1,2.0,cash_buffer_months,1.591,0.9305298924446106,Cash buffer is thin or deteriorating (cash_buffer_months=1.591),utilization_std_3m,0.1242269831129023,0.8712923526763916,Utilisation volatility is elevated (utilization_std_3m=0.124),utilization_change_1m,0.1751,0.7970187664031982,Utilisation increased recently (utilization_change_1m=0.175)
ACC001633,2022-01-31,51,1.0,1,2.0,utilization_std_3m,0.151360463794215,0.9368003010749817,Utilisation volatility is elevated (utilization_std_3m=0.151),utilization_change_1m,0.1963999999999999,0.8664949536323547,Utilisation increased recently (utilization_change_1m=0.196),cash_buffer_months,2.314,0.8449932336807251,Cash buffer is thin or deteriorating (cash_buffer_months=2.314)
ACC001662,2022-01-31,52,1.0,1,3.0,utilization_std_3m,0.1375470949650822,0.9329058527946472,Utilisation volatility is elevated (utilization_std_3m=0.138),cash_buffer_months,2.125,0.9277229309082031,Cash buffer is thin or deteriorating (cash_buffer_months=2.125),utilization_change_1m,0.1529,0.8153572082519531,Utilisation increased recently (utilization_change_1m=0.153)
ACC001663,2022-01-31,53,1.0,1,2.0,cash_buffer_months,1.283,1.2195185422897339,Cash buffer is thin or deteriorating (cash_buffer_months=1.283),payment_to_balance,0.0167803187397185,0.567871630191803,Payment relative to balance is weak (payment_to_balance=0.017),payment_to_due_ratio,0.3729,0.4701922833919525,Payment coverage is high (payment_to_due_ratio=0.373)
ACC001708,2022-01-31,54,1.0,1,3.0,cash_buffer_months,2.131,0.9588265419006348,Cash buffer is thin or deteriorating (cash_buffer_months=2.131),utilization_std_3m,0.1343438498778414,0.9311569333076477,Utilisation volatility is elevated (utilization_std_3m=0.134),utilization_change_1m,0.1635000000000001,0.8499220013618469,Utilisation increased recently (utilization_change_1m=0.164)
ACC001826,2022-01-31,55,1.0,1,1.0,prior_30_plus_count_12m,1.0,0.9985621571540833,Prior delinquency history contributes (prior_30_plus_count_12m=1.000),utilization_std_3m,0.0855360352911763,0.8143554925918579,Utilisation volatility is elevated (utilization_std_3m=0.086),utilization_std_6m,0.1293813433227528,0.6122757792472839,Utilisation volatility is elevated (utilization_std_6m=0.129)
ACC001827,2022-01-31,56,1.0,1,4.0,cash_buffer_months,1.807,1.0185792446136475,Cash buffer is thin or deteriorating (cash_buffer_months=1.807),utilization_std_3m,0.1152589403618361,0.8277016282081604,Utilisation volatility is elevated (utilization_std_3m=0.115),utilization_change_1m,0.1478,0.7416935563087463,Utilisation increased recently (utilization_change_1m=0.148)
ACC001857,2022-01-31,57,1.0,1,3.0,cash_buffer_months,2.205,0.9290938377380371,Cash buffer is thin or deteriorating (cash_buffer_months=2.205),utilization_std_3m,0.126972923622847,0.8938421607017517,Utilisation volatility is elevated (utilization_std_3m=0.127),utilization_change_1m,0.0902999999999999,0.625384509563446,Utilisation increased recently (utilization_change_1m=0.090)
ACC001881,2022-01-31,58,1.0,1,1.0,cash_buffer_months,1.004,1.276387095451355,Cash buffer is thin or deteriorating (cash_buffer_months=1.004),utilization_std_6m,0.1327047462100231,0.6355703473091125,Utilisation volatility is elevated (utilization_std_6m=0.133),payment_to_balance,0.0218430650752605,0.5674107074737549,Payment relative to balance is weak (payment_to_balance=0.022)
ACC001883,2022-01-31,59,1.0,1,1.0,utilization_std_3m,0.1623226827443827,0.8477810621261597,Utilisation volatility is elevated (utilization_std_3m=0.162),cash_buffer_months,2.382,0.8221524357795715,Cash buffer is thin or deteriorating (cash_buffer_months=2.382),utilization_change_1m,0.1575999999999999,0.7946488261222839,Utilisation increased recently (utilization_change_1m=0.158)
ACC001949,2022-01-31,60,1.0,1,3.0,cash_buffer_months,1.928,1.2437654733657837,Cash buffer is thin or deteriorating (cash_buffer_months=1.928),payment_to_balance,0.0225080303136838,0.5743734836578369,Payment relative to balance is weak (payment_to_balance=0.023),payment_to_due_ratio,0.5002,0.4525216221809387,Payment coverage is high (payment_to_due_ratio=0.500)
ACC002052,2022-01-31,61,1.0,1,3.0,cash_buffer_months,2.08,1.0229454040527344,Cash buffer is thin or deteriorating (cash_buffer_months=2.080),utilization_change_1m,0.0955,0.7218299508094788,Utilisation increased recently (utilization_change_1m=0.096),utilization_std_3m,0.0759730434649913,0.46036651730537415,Utilisation volatility is elevated (utilization_std_3m=0.076)
ACC002069,2022-01-31,62,1.0,1,2.0,utilization_std_3m,0.1220387779901669,0.9098037481307983,Utilisation volatility is elevated (utilization_std_3m=0.122),cash_buffer_months,2.241,0.8734948039054871,Cash buffer is thin or deteriorating (cash_buffer_months=2.241),utilization_change_1m,0.1593,0.7388324737548828,Utilisation increased recently (utilization_change_1m=0.159)
ACC002093,2022-01-31,63,1.0,1,3.0,cash_buffer_months,1.812,0.9012008905410767,Cash buffer is thin or deteriorating (cash_buffer_months=1.812),utilization_std_3m,0.0998139769771751,0.8379096388816833,Utilisation volatility is elevated (utilization_std_3m=0.100),utilization_std_6m,0.1070056961100669,0.5331144332885742,Utilisation volatility is elevated (utilization_std_6m=0.107)
ACC002111,2022-01-31,64,1.0,1,2.0,cash_buffer_months,2.102,0.9254074096679688,Cash buffer is thin or deteriorating (cash_buffer_months=2.102),utilization_std_3m,0.0975125120176884,0.8294088244438171,Utilisation volatility is elevated (utilization_std_3m=0.098),utilization_change_1m,0.1116999999999999,0.7249545454978943,Utilisation increased recently (utilization_change_1m=0.112)
ACC002140,2022-01-31,65,1.0,1,1.0,cash_buffer_months,1.306,0.9016401767730713,Cash buffer is thin or deteriorating (cash_buffer_months=1.306),utilization_std_3m,0.125005333219561,0.8712145686149597,Utilisation volatility is elevated (utilization_std_3m=0.125),utilization_change_1m,0.157,0.6967261433601379,Utilisation increased recently (utilization_change_1m=0.157)
ACC002148,2022-01-31,66,1.0,1,1.0,utilization_std_3m,0.1797523110653472,0.8910837173461914,Utilisation volatility is elevated (utilization_std_3m=0.180),cash_buffer_months,2.342,0.8623558282852173,Cash buffer is thin or deteriorating (cash_buffer_months=2.342),utilization_change_1m,0.1526,0.7716325521469116,Utilisation increased recently (utilization_change_1m=0.153)
ACC002190,2022-01-31,67,1.0,1,1.0,cash_buffer_months,1.164,0.9158700704574585,Cash buffer is thin or deteriorating (cash_buffer_months=1.164),utilization_std_3m,0.1545459262916146,0.840080976486206,Utilisation volatility is elevated (utilization_std_3m=0.155),utilization_change_1m,0.1721,0.7481309771537781,Utilisation increased recently (utilization_change_1m=0.172)
ACC002214,2022-01-31,68,1.0,1,5.0,utilization_std_3m,0.0985726297373329,0.9626139402389526,Utilisation volatility is elevated (utilization_std_3m=0.099),utilization_change_1m,0.1085,0.8160203099250793,Utilisation increased recently (utilization_change_1m=0.108),cash_buffer_months,2.507,0.7021331787109375,Cash buffer is thin or deteriorating (cash_buffer_months=2.507)
ACC002312,2022-01-31,69,1.0,1,4.0,cash_buffer_months,2.243,0.9050586819648743,Cash buffer is thin or deteriorating (cash_buffer_months=2.243),utilization_std_3m,0.0917825873100848,0.7773463129997253,Utilisation volatility is elevated (utilization_std_3m=0.092),utilization_change_1m,0.1059,0.715656578540802,Utilisation increased recently (utilization_change_1m=0.106)
ACC002329,2022-01-31,70,1.0,1,2.0,prior_30_plus_count_12m,1.0,1.098310112953186,Prior delinquency history contributes (prior_30_plus_count_12m=1.000),utilization_std_6m,0.1496023451242226,0.5888224840164185,Utilisation volatility is elevated (utilization_std_6m=0.150),payment_to_due_ratio_mean_3m,0.6099000000000001,0.41604405641555786,Payment coverage is high (payment_to_due_ratio_mean_3m=0.610)
ACC002354,2022-01-31,71,1.0,1,4.0,utilization_change_1m,0.1222999999999999,1.1200515031814575,Utilisation increased recently (utilization_change_1m=0.122),utilization_std_3m,0.1108542436415193,0.9504421353340149,Utilisation volatility is elevated (utilization_std_3m=0.111),cash_buffer_months,2.663,0.6562656760215759,Cash buffer is thin or deteriorating (cash_buffer_months=2.663)
ACC002426,2022-01-31,72,1.0,1,2.0,cash_buffer_months,1.39,1.279147982597351,Cash buffer is thin or deteriorating (cash_buffer_months=1.390),payment_to_balance,0.0171621388942777,0.595233678817749,Payment relative to balance is weak (payment_to_balance=0.017),payment_to_due_ratio,0.3814,0.44634875655174255,Payment coverage is high (payment_to_due_ratio=0.381)
ACC002462,2022-01-31,73,1.0,1,4.0,utilization_change_1m,0.1412999999999999,1.0278503894805908,Utilisation increased recently (utilization_change_1m=0.141),utilization_std_3m,0.0984878841956376,0.9737749099731445,Utilisation volatility is elevated (utilization_std_3m=0.098),cash_buffer_months,2.548,0.7360414266586304,Cash buffer is thin or deteriorating (cash_buffer_months=2.548)
ACC002464,2022-01-31,74,1.0,1,2.0,cash_buffer_months,1.514,0.9044557809829712,Cash buffer is thin or deteriorating (cash_buffer_months=1.514),utilization_std_3m,0.18667539562924,0.885473370552063,Utilisation volatility is elevated (utilization_std_3m=0.187),utilization_change_1m,0.2209999999999999,0.8052026629447937,Utilisation increased recently (utilization_change_1m=0.221)
ACC002480,2022-01-31,75,1.0,1,3.0,cash_buffer_months,1.375,0.9081697463989258,Cash buffer is thin or deteriorating (cash_buffer_months=1.375),payment_to_due_ratio,0.2819,0.5296096801757812,Payment coverage is high (payment_to_due_ratio=0.282),utilization_std_6m,0.1274484745560595,0.5175440907478333,Utilisation volatility is elevated (utilization_std_6m=0.127)
ACC000002,2022-01-31,76,0.98876405,1,1.0,prior_30_plus_count_12m,3.0,1.4649600982666016,Prior delinquency history contributes (prior_30_plus_count_12m=3.000),ever_30_plus_before_t,1.0,0.4701159596443176,ever_30_plus_before_t contributes to higher risk (1.000),payment_to_due_ratio_mean_3m,0.8468,0.372749388217926,Payment coverage is high (payment_to_due_ratio_mean_3m=0.847)
ACC000012,2022-01-31,77,0.98876405,1,4.0,utilization_std_3m,0.0977578129869933,0.9600182175636292,Utilisation volatility is elevated (utilization_std_3m=0.098),utilization_change_1m,0.1056,0.9404404759407043,Utilisation increased recently (utilization_change_1m=0.106),cash_buffer_months,2.583,0.701073408126831,Cash buffer is thin or deteriorating (cash_buffer_months=2.583)
